lengthscale l2regularizer rmse_mean rmse_std

0.05 0.025 1.1223295 0.4737057
0.05 0.05 1.1661084 0.6048273
0.05 0.075 1.1297395 0.5024405
0.05 0.1 1.0880402 0.46544033
0.05 0.125 1.138047 0.5010669
0.05 0.15 1.1442101 0.52756757
0.05 0.175 1.1776435 0.5107573
0.05 0.2 1.1378267 0.41842082
0.05 0.225 1.1806395 0.58139074
0.05 0.25 1.2458569 0.5295689
0.05 0.275 1.2204789 0.66401625
0.05 0.3 1.1280508 0.40899992
0.05 0.325 1.1434067 0.5095019
0.05 0.35 1.1145223 0.5351739
0.05 0.375 1.1194499 0.51964635
0.05 0.4 1.1104448 0.50555086
0.05 0.425 1.105046 0.49166155
0.05 0.45 1.1913006 0.43561497
0.05 0.475 1.1993557 0.71485937
0.05 0.5 1.1231935 0.4727226
0.05 0.525 1.1700915 0.43861854
0.05 0.55 1.1141392 0.5329176
0.05 0.575 1.1811463 0.61804545
0.05 0.6 1.0792366 0.520896
0.05 0.625 1.1807588 0.49850947
0.05 0.65 1.1218357 0.59317696
0.05 0.675 1.1577154 0.59354603
0.05 0.7 1.1367792 0.44851187
0.05 0.725 1.2054355 0.5008756
0.05 0.75 1.1297407 0.52300626
0.05 0.775 1.1594355 0.6603267
0.05 0.8 1.0999362 0.46301377
0.05 0.825 1.1321442 0.43297142
0.05 0.85 1.1693205 0.5299802
0.05 0.875 1.1229321 0.51433325
0.05 0.9 1.146233 0.47292015
0.05 0.925 1.1577448 0.59048116
0.05 0.95 1.1996197 0.5819733
0.05 0.975 1.1937242 0.5299294
0.05 1.0 1.0813335 0.5157586
0.075 0.025 1.1123607 0.5318297
0.075 0.05 1.078594 0.4577758
0.075 0.075 1.1346477 0.6033773
0.075 0.1 1.2418555 0.69580704
0.075 0.125 1.1843971 0.49550027
0.075 0.15 1.2368233 0.68426126
0.075 0.175 1.0743473 0.56180704
0.075 0.2 1.2158616 0.581617
0.075 0.225 1.1229162 0.4782826
0.075 0.25 1.0983816 0.4604712
0.075 0.275 1.1203976 0.5677535
0.075 0.3 1.0677598 0.5416248
0.075 0.325 1.037102 0.40006033
0.075 0.35 1.120208 0.5942454
0.075 0.375 1.1153446 0.56903857
0.075 0.4 1.1130431 0.44879928
0.075 0.425 1.1331508 0.4701793
0.075 0.45 1.1344671 0.48704106
0.075 0.475 1.1640414 0.5728554
0.075 0.5 1.1406119 0.57707405
0.075 0.525 1.0883412 0.53159666
0.075 0.55 1.2038532 0.5630947
0.075 0.575 1.1793674 0.6421928
0.075 0.6 1.2340542 0.60371506
0.075 0.625 1.12444 0.544408
0.075 0.65 1.1254085 0.4702587
0.075 0.675 1.2463653 0.62431866
0.075 0.7 1.0953231 0.4543112
0.075 0.725 1.1322424 0.576926
0.075 0.75 1.1528685 0.5389767
0.075 0.775 1.2284112 0.59959054
0.075 0.8 1.0770574 0.43117934
0.075 0.825 1.1704836 0.51670927
0.075 0.85 1.2580918 0.62757975
0.075 0.875 1.1572472 0.65317786
0.075 0.9 1.142734 0.5641275
0.075 0.925 1.1243883 0.5343707
0.075 0.95 1.0945396 0.52913284
0.075 0.975 1.1628606 0.53003156
0.075 1.0 1.0998764 0.4892946
